field_name,field_type,description,options
analytics_id,autonumber,Primary key,
date,date,Analytics date,
designs_requested,number,Design requests count,
designs_generated,number,Successfully generated,
designs_approved,number,Approved designs,
designs_rejected,number,Rejected designs,
approval_rate,percent,approved/generated,
mockups_created,number,Mockups generated,
products_created,number,Printify products,
products_published,number,Published to Etsy,
publish_rate,percent,published/created,
api_calls_claude,number,Claude API calls,
api_calls_design,number,Design API calls,
api_calls_printify,number,Printify API calls,
api_cost_claude,currency,Claude API costs,
api_cost_design,currency,Design generation costs,
api_cost_total,currency,Total API costs,
avg_generation_time,number,Avg design time in seconds,
avg_pipeline_time,number,Avg full pipeline in minutes,
errors_count,number,Total errors,
active_users,number,Unique Slack users,
